,country,area,city,confirm,suspect,dead,heal
0,中国,湖北,武汉,618,0,45,40
1,中国,湖北,黄冈,122,0,2,2
2,中国,湖北,孝感,55,0,0,0
3,中国,湖北,荆门,38,0,1,0
4,中国,湖北,恩施州,17,0,0,0
5,中国,湖北,荆州,33,0,2,0
6,中国,湖北,仙桃,11,0,0,0
7,中国,湖北,十堰,20,0,0,0
8,中国,湖北,随州,36,0,0,0
9,中国,湖北,天门,5,0,0,0
10,中国,湖北,宜昌,20,0,1,0
11,中国,湖北,鄂州,1,0,0,0
12,中国,湖北,咸宁,43,0,0,0
13,中国,广东,广州,14,0,0,0
14,中国,广东,深圳,27,0,0,2
15,中国,广东,珠海,10,0,0,0
16,中国,广东,佛山,10,0,0,0
17,中国,广东,惠州,8,0,0,0
18,中国,广东,阳江,6,0,0,0
19,中国,广东,韶关,3,0,0,0
20,中国,广东,湛江,4,0,0,0
21,中国,广东,中山,2,0,0,0
22,中国,广东,肇庆,4,0,0,0
23,中国,广东,清远,3,0,0,0
24,中国,广东,东莞,2,0,0,0
25,中国,广东,汕头,2,0,0,0
26,中国,浙江,台州,21,0,0,0
27,中国,浙江,杭州,27,0,0,0
28,中国,浙江,温州,18,0,0,1
29,中国,浙江,宁波,13,0,0,0
30,中国,浙江,绍兴,5,0,0,0
31,中国,浙江,嘉兴,8,0,0,0
32,中国,浙江,舟山,2,0,0,0
33,中国,浙江,金华,3,0,0,0
34,中国,浙江,衢州,3,0,0,0
35,中国,重庆,万州区,13,0,0,0
36,中国,重庆,长寿区,5,0,0,0
37,中国,重庆,开州区,4,0,0,0
38,中国,重庆,巫山县,3,0,0,0
39,中国,重庆,永川区,3,0,0,0
40,中国,重庆,九龙坡区,3,0,0,0
41,中国,重庆,忠县,5,0,0,0
42,中国,重庆,两江新区,3,0,0,0
43,中国,重庆,石柱县,3,0,0,0
44,中国,重庆,垫江县,2,0,0,0
45,中国,重庆,大渡口区,4,0,0,0
46,中国,重庆,渝北区,4,0,0,0
47,中国,重庆,云阳县,4,0,0,0
48,中国,重庆,巫溪县,3,0,0,0
49,中国,重庆,合川区,2,0,0,0
50,中国,重庆,璧山区,2,0,0,0
51,中国,重庆,涪陵区,1,0,0,0
52,中国,重庆,奉节县,3,0,0,0
53,中国,重庆,秀山县,1,0,0,0
54,中国,重庆,梁平区,1,0,0,0
55,中国,重庆,城口县,1,0,0,0
56,中国,重庆,丰都县,1,0,0,0
57,中国,湖南,长沙,18,0,0,0
58,中国,湖南,怀化,8,0,0,0
59,中国,湖南,岳阳,6,0,0,0
60,中国,湖南,娄底,5,0,0,0
61,中国,湖南,永州,4,0,0,0
62,中国,湖南,益阳,4,0,0,0
63,中国,湖南,衡阳,3,0,0,0
64,中国,湖南,常德,7,0,0,0
65,中国,湖南,湘潭,3,0,0,0
66,中国,湖南,邵阳,2,0,0,0
67,中国,湖南,郴州,3,0,0,0
68,中国,湖南,株洲,3,0,0,0
69,中国,安徽,合肥,13,0,0,0
70,中国,安徽,阜阳,10,0,0,0
71,中国,安徽,亳州,6,0,0,0
72,中国,安徽,安庆,5,0,0,0
73,中国,安徽,马鞍山,7,0,0,0
74,中国,安徽,铜陵,3,0,0,0
75,中国,安徽,六安,3,0,0,0
76,中国,安徽,滁州,2,0,0,0
77,中国,安徽,池州,1,0,0,0
78,中国,安徽,蚌埠,1,0,0,0
79,中国,安徽,芜湖,3,0,0,0
80,中国,北京,外地来京,11,0,0,0
81,中国,北京,海淀,13,0,0,0
82,中国,北京,朝阳,8,0,0,0
83,中国,北京,西城,5,0,0,0
84,中国,北京,昌平,5,0,0,0
85,中国,北京,大兴,2,0,0,2
86,中国,北京,丰台,3,0,0,0
87,中国,北京,通州,4,0,0,0
88,中国,北京,石景山,1,0,0,0
89,中国,北京,顺义,1,0,0,0
90,中国,上海,,40,0,1,1
91,中国,河南,南阳,15,0,1,0
92,中国,河南,郑州,20,0,0,0
93,中国,河南,信阳,22,0,0,0
94,中国,河南,周口,5,0,0,0
95,中国,河南,驻马店,7,0,0,0
96,中国,河南,洛阳,1,0,0,0
97,中国,河南,三门峡,2,0,0,0
98,中国,河南,新乡,3,0,0,0
99,中国,河南,平顶山,2,0,0,0
100,中国,四川,成都,22,0,0,0
101,中国,四川,广安,2,0,0,0
102,中国,四川,绵阳,5,0,0,0
103,中国,四川,遂宁,2,0,0,0
104,中国,四川,达州,1,0,0,0
105,中国,四川,德阳,1,0,0,0
106,中国,四川,雅安,1,0,0,0
107,中国,四川,自贡,1,0,0,0
108,中国,四川,泸州,2,0,0,0
109,中国,四川,内江,1,0,0,0
110,中国,山东,青岛,8,0,0,0
111,中国,山东,威海,4,0,0,0
112,中国,山东,临沂,7,0,0,0
113,中国,山东,日照,4,0,0,0
114,中国,山东,济南,5,0,0,0
115,中国,山东,烟台,2,0,0,0
116,中国,山东,济宁,5,0,0,0
117,中国,山东,潍坊,2,0,0,0
118,中国,山东,德州,3,0,0,0
119,中国,山东,聊城,1,0,0,0
120,中国,山东,滨州,3,0,0,0
121,中国,山东,菏泽,1,0,0,0
122,中国,广西,北海,7,0,0,0
123,中国,广西,桂林,11,0,0,0
124,中国,广西,柳州,4,0,0,0
125,中国,广西,河池,3,0,0,0
126,中国,广西,防城港,2,0,0,0
127,中国,广西,梧州,2,0,0,0
128,中国,广西,百色,2,0,0,0
129,中国,广西,玉林,1,0,0,0
130,中国,江西,抚州,6,0,0,0
131,中国,江西,南昌,4,0,0,0
132,中国,江西,九江,2,0,0,0
133,中国,江西,赣州,7,0,0,0
134,中国,江西,上饶,6,0,0,0
135,中国,江西,萍乡,2,0,0,0
136,中国,江西,新余,1,0,0,0
137,中国,江西,吉安,2,0,0,0
138,中国,江西,景德镇,1,0,0,0
139,中国,江西,宜春,5,0,0,0
140,中国,福建,福州,10,0,0,0
141,中国,福建,厦门,4,0,0,0
142,中国,福建,泉州,4,0,0,0
143,中国,福建,漳州,4,0,0,0
144,中国,福建,宁德,3,0,0,0
145,中国,福建,三明,4,0,0,0
146,中国,江苏,常州,5,0,0,0
147,中国,江苏,南京,7,0,0,0
148,中国,江苏,苏州,7,0,0,1
149,中国,江苏,连云港,3,0,0,0
150,中国,江苏,扬州,1,0,0,0
151,中国,江苏,南通,2,0,0,0
152,中国,江苏,无锡,2,0,0,0
153,中国,江苏,盐城,1,0,0,0
154,中国,江苏,宿迁,1,0,0,0
155,中国,海南,三亚,8,0,0,0
156,中国,海南,万宁,5,0,0,0
157,中国,海南,海口,3,0,0,0
158,中国,海南,儋州,3,0,0,0
159,中国,海南,临高县,1,0,0,0
160,中国,海南,陵水县,1,0,0,0
161,中国,辽宁,沈阳,5,0,0,0
162,中国,辽宁,大连,4,0,0,0
163,中国,辽宁,朝阳,2,0,0,0
164,中国,辽宁,铁岭,2,0,0,0
165,中国,辽宁,葫芦岛,2,0,0,0
166,中国,辽宁,本溪,1,0,0,0
167,中国,陕西,西安,9,0,0,0
168,中国,陕西,安康,3,0,0,0
169,中国,陕西,铜川,5,0,0,0
170,中国,陕西,咸阳,2,0,0,0
171,中国,陕西,延安,1,0,0,0
172,中国,陕西,商洛,1,0,0,0
173,中国,云南,昆明,4,0,0,0
174,中国,云南,丽江市,2,0,0,0
175,中国,云南,西双版纳州,1,0,0,0
176,中国,云南,曲靖,1,0,0,0
177,中国,云南,玉溪,1,0,0,0
178,中国,云南,红河,1,0,0,0
179,中国,云南,大理,1,0,0,0
180,中国,天津,天津,13,0,0,0
181,中国,黑龙江,哈尔滨,8,0,0,0
182,中国,黑龙江,牡丹江,1,0,0,0
183,中国,黑龙江,大庆,3,0,0,0
184,中国,黑龙江,绥化,2,0,1,0
185,中国,河北,石家庄,5,0,0,0
186,中国,河北,沧州,2,0,1,0
187,中国,河北,保定,3,0,0,0
188,中国,河北,承德,1,0,0,0
189,中国,山西,太原,2,0,0,0
190,中国,山西,运城,2,0,0,0
191,中国,山西,大同,1,0,0,0
